type	name	mode	prot	user	group	size	last-modified	directories	files
directory	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu								
file	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/ld-2.27.so	0755	-rwxr-xr-x	root	root	167K	2018-04-17T05:14:20		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	0777	lrwxrwxrwx	root	root	10	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libBrokenLocale-2.27.so	0644	-rw-r--r--	root	root	6.1K	2018-04-17T05:14:20		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libBrokenLocale.so.1	0777	lrwxrwxrwx	root	root	23	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libSegFault.so	0644	-rw-r--r--	root	root	18K	2018-04-17T05:14:20		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libacl.so.1	0777	lrwxrwxrwx	root	root	15	2017-04-22T05:44:54		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libacl.so.1.1.0	0644	-rw-r--r--	root	root	30K	2017-04-22T05:44:54		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libanl-2.27.so	0644	-rw-r--r--	root	root	15K	2018-04-17T05:14:20		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libanl.so.1	0777	lrwxrwxrwx	root	root	14	2018-04-17T05:14:20		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libapparmor.so.1	0777	lrwxrwxrwx	root	root	20	2018-04-18T05:15:16		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libapparmor.so.1.4.2	0644	-rw-r--r--	root	root	63K	2018-04-18T05:15:16		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libatm.so.1	0777	lrwxrwxrwx	root	root	15	2018-02-20T15:59:50		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libatm.so.1.0.0	0644	-rw-r--r--	root	root	39K	2018-02-20T15:59:50		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libattr.so.1	0777	lrwxrwxrwx	root	root	16	2017-04-22T05:45:50		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libattr.so.1.1.0	0644	-rw-r--r--	root	root	18K	2017-04-22T05:45:50		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/lib/x86_64-linux-gnu/libaudit.so.1	0777	lrwxrwxrwx	root	root	17	2018-02-08T08:59:52		
