type	name	mode	prot	user	group	size	last-modified	directories	files
directory	/home/aine/script-machines/vir-ubuntu-18-04-template								
directory	/home/aine/script-machines/vir-ubuntu-18-04-template/bin	0755	drwxr-xr-x	root	root	4.0K	2020-09-20T11:50:16		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bash	0755	-rwxr-xr-x	root	root	1.1M	2018-04-05T03:30:26		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bunzip2	0755	-rwxr-xr-x	root	root	34K	2017-01-30T03:30:31		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzcat	0755	-rwxr-xr-x	root	root	34K	2017-01-30T03:30:31		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzcmp	0777	lrwxrwxrwx	root	root	6	2017-01-30T03:30:31		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzdiff	0755	-rwxr-xr-x	root	root	2.1K	2017-01-30T03:30:31		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzegrep	0777	lrwxrwxrwx	root	root	6	2017-01-30T03:30:31		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzexe	0755	-rwxr-xr-x	root	root	4.8K	2017-01-30T03:30:31		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzfgrep	0777	lrwxrwxrwx	root	root	6	2017-01-30T03:30:31		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzgrep	0755	-rwxr-xr-x	root	root	3.6K	2017-01-30T03:30:31		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzip2	0755	-rwxr-xr-x	root	root	34K	2017-01-30T03:30:31		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzip2recover	0755	-rwxr-xr-x	root	root	14K	2017-01-30T03:30:31		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzless	0777	lrwxrwxrwx	root	root	6	2017-01-30T03:30:31		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/bzmore	0755	-rwxr-xr-x	root	root	1.3K	2017-01-30T03:30:31		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/cat	0755	-rwxr-xr-x	root	root	34K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/chgrp	0755	-rwxr-xr-x	root	root	62K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/chmod	0755	-rwxr-xr-x	root	root	58K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/chown	0755	-rwxr-xr-x	root	root	66K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/chvt	0755	-rwxr-xr-x	root	root	10K	2018-01-22T22:49:48		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/cp	0755	-rwxr-xr-x	root	root	138K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/cpio	0755	-rwxr-xr-x	root	root	154K	2017-12-02T18:27:39		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/dash	0755	-rwxr-xr-x	root	root	119K	2018-01-25T16:14:33		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/date	0755	-rwxr-xr-x	root	root	98K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/dd	0755	-rwxr-xr-x	root	root	74K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/df	0755	-rwxr-xr-x	root	root	83K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/dir	0755	-rwxr-xr-x	root	root	131K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/dmesg	0755	-rwxr-xr-x	root	root	70K	2018-03-16T07:47:34		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/dnsdomainname	0777	lrwxrwxrwx	root	root	8	2018-01-31T21:08:15		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/domainname	0777	lrwxrwxrwx	root	root	8	2018-01-31T21:08:15		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/dumpkeys	0755	-rwxr-xr-x	root	root	167K	2018-01-22T22:49:48		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/echo	0755	-rwxr-xr-x	root	root	34K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/egrep	0755	-rwxr-xr-x	root	root	28	2017-07-12T19:59:03		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/false	0755	-rwxr-xr-x	root	root	30K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/fgconsole	0755	-rwxr-xr-x	root	root	10K	2018-01-22T22:49:48		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/fgrep	0755	-rwxr-xr-x	root	root	28	2017-07-12T19:59:03		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/findmnt	0755	-rwxr-xr-x	root	root	63K	2018-03-16T07:47:34		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/grep	0755	-rwxr-xr-x	root	root	214K	2017-07-12T19:59:03		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/gunzip	0755	-rwxr-xr-x	root	root	2.2K	2017-04-28T12:50:19		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/gzexe	0755	-rwxr-xr-x	root	root	5.8K	2017-04-28T12:50:19		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/gzip	0755	-rwxr-xr-x	root	root	99K	2017-04-28T12:50:19		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/hostname	0755	-rwxr-xr-x	root	root	18K	2018-01-31T21:08:15		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/ip	0755	-rwxr-xr-x	root	root	541K	2018-02-27T00:21:30		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/journalctl	0755	-rwxr-xr-x	root	root	62K	2018-04-21T01:55:56		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/kbd_mode	0755	-rwxr-xr-x	root	root	10K	2018-01-22T22:49:48		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/kill	0755	-rwxr-xr-x	root	root	26K	2018-01-18T07:35:48		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/kmod	0755	-rwxr-xr-x	root	root	146K	2018-01-29T00:34:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/less	0755	-rwxr-xr-x	root	root	167K	2017-12-01T13:11:09		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/lessecho	0755	-rwxr-xr-x	root	root	10K	2017-12-01T13:11:09		
link	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/lessfile	0777	lrwxrwxrwx	root	root	8	2017-12-01T13:11:09		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/lesskey	0755	-rwxr-xr-x	root	root	19K	2017-12-01T13:11:09		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/lesspipe	0755	-rwxr-xr-x	root	root	8.4K	2017-12-01T13:11:09		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/ln	0755	-rwxr-xr-x	root	root	66K	2018-01-18T18:43:49		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/bin/loadkeys	0755	-rwxr-xr-x	root	root	207K	2018-01-22T22:49:48		
