type	name	mode	prot	user	group	size	last-modified	directories	files
directory	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales								
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/C	0644	-rw-r--r--	root	root	159K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/POSIX	0644	-rw-r--r--	root	root	8.5K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/aa_DJ	0644	-rw-r--r--	root	root	5.0K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/aa_ER	0644	-rw-r--r--	root	root	4.4K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/aa_ER@saaho	0644	-rw-r--r--	root	root	4.1K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/aa_ET	0644	-rw-r--r--	root	root	4.5K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/af_ZA	0644	-rw-r--r--	root	root	6.6K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/agr_PE	0644	-rw-r--r--	root	root	4.6K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ak_GH	0644	-rw-r--r--	root	root	4.1K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/am_ET	0644	-rw-r--r--	root	root	44K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/an_ES	0644	-rw-r--r--	root	root	2.8K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/anp_IN	0644	-rw-r--r--	root	root	5.8K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_AE	0644	-rw-r--r--	root	root	5.3K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_BH	0644	-rw-r--r--	root	root	5.2K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_DZ	0644	-rw-r--r--	root	root	5.4K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_EG	0644	-rw-r--r--	root	root	5.4K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_IN	0644	-rw-r--r--	root	root	4.5K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_IQ	0644	-rw-r--r--	root	root	5.7K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_JO	0644	-rw-r--r--	root	root	5.7K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_KW	0644	-rw-r--r--	root	root	5.2K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_LB	0644	-rw-r--r--	root	root	5.7K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_LY	0644	-rw-r--r--	root	root	5.2K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_MA	0644	-rw-r--r--	root	root	5.4K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_OM	0644	-rw-r--r--	root	root	5.2K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_QA	0644	-rw-r--r--	root	root	5.2K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_SA	0644	-rw-r--r--	root	root	4.1K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_SD	0644	-rw-r--r--	root	root	5.5K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_SS	0644	-rw-r--r--	root	root	5.5K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_SY	0644	-rw-r--r--	root	root	5.8K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_TN	0644	-rw-r--r--	root	root	5.4K	2018-04-17T05:14:20		
file	/home/aine/script-machines/vir-ubuntu-18-04-template/usr/share/i18n/locales/ar_YE	0644	-rw-r--r--	root	root	5.2K	2018-04-17T05:14:20		
